,Mã sản phẩm,Thương hiệu,Giá tiền (VNĐ),Chất liệu dây,Chất liệu vỏ,Xuất xứ,Giới tính,Chất liệu mặt kính,Độ chịu nước (ATM),Bảo hành,Kiểu máy,Kích cỡ (mm)
0,PA5018H,Philippe Auguste,4581000,Dây da,Thép không gỉ,Trung Quốc,Nam,Kính sapphire,5,2,Quartz,42
1,PA5018G,Philippe Auguste,4581000,Dây da,Thép không gỉ,Trung Quốc,Nam,Kính sapphire,5,2,Quartz,42
2,PA2022,Philippe Auguste,10710000,Dây da,Thép không gỉ,Trung Quốc,Nam,Kính sapphire,5,2,Quartz,40
3,PA5021B,Philippe Auguste,5379300,Dây da,Thép không gỉ,Trung Quốc,Nam,Kính sapphire,10,2,Quartz,42
4,PA5021H,Philippe Auguste,5990400,Dây da,Thép không gỉ,Trung Quốc,Nam,Kính sapphire,10,2,Quartz,42
5,PA5025D,Philippe Auguste,5535900,Dây da,Thép không gỉ,Trung Quốc,Nam,Kính sapphire,10,2,Quartz,42
6,DM36285RG,Diamond D,4779000,Hợp kim Titanium,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,32
7,DM3638L5IG-R,Diamond D,4266000,Dây da,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,34
8,PA5023I,Philippe Auguste,5880600,Dây da,Thép không gỉ,Trung Quốc,Nam,Kính sapphire,10,2,Quartz,42
9,DM36505IG,Diamond D,4446000,Hợp kim Titanium,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,24
10,DM63055,Diamond D,3582000,Hợp kim Titanium,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,28
11,DM38445IG,Diamond D,4446000,Hợp kim Titanium,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,27
12,DM38445,Diamond D,3582000,Hợp kim Titanium,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,24
13,DM64205IG-B,Diamond D,5301000,Dây da,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,33
14,DM36285IG,Diamond D,4779000,Hợp kim Titanium,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,32
15,DM5308B5IG,Diamond D,4950000,Hợp kim Titanium,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,24
16,DM61195,Diamond D,5904000,Hợp kim Titanium,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,28
17,DM38025IG,Diamond D,5130000,Hợp kim Titanium,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,26
18,DM64205IG-R,Diamond D,5301000,Dây da,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,33
19,DM61195IG,Diamond D,6678000,Hợp kim Titanium,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,28
20,DM3645B5IG-R,Diamond D,4950000,Dây da,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,27
21,AT-95743.65.21,Atlantic Swiss,121500000,Dây da,Vàng,Thụy Sĩ,Nam,Kính sapphire,3,2,Automatic,38
22,DM61195IG-B,Diamond D,6363000,Dây da,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,28
23,DM6305B5,Diamond D,4779000,Hợp kim Titanium,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,30
24,AT-52851.41.55G,Atlantic Swiss,103500000,Dây da,Thép không gỉ,Thụy Sĩ,Nam,Kính sapphire,5,2,Automatic,42
25,DM64205W-R,Diamond D,4779000,Dây da,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,33
26,DM65105W-R,Diamond D,3420000,Dây da,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,23
27,DM65105IG-R,Diamond D,3933000,Dây da,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,23
28,DM36505,Diamond D,3582000,Hợp kim Titanium,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,24
29,DM63055IG-R,Diamond D,3762000,Dây da,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,30
30,DM25055IG,Diamond D,5130000,Hợp kim Titanium,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,24
31,DM3645B5IG-B,Diamond D,4950000,Dây da,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,27
32,DM65105W-B,Diamond D,3420000,Dây da,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,23
33,RG-BK,Aries Gold,4932000,Thép không gỉ,Thép không gỉ,Singapore,Nữ,Kính sapphire,3,2,Quartz,28
34,DM65105IG-W,Diamond D,3933000,Dây da,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,23
35,DM63055IG,Diamond D,4446000,Hợp kim Titanium,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,28
36,DM5308B5,Diamond D,4500000,Hợp kim Titanium,Hợp kim Titanium,Trung Quốc,Nữ,Kính sapphire,3,10,Quartz,25
37,E-3439.322.24.16.34,Epos Swiss,68670000,Thép không gỉ,Thép không gỉ,Thụy Sĩ,Nam,Kính sapphire,5,2,Automatic,41.7
38,E-3391.832.22.20.25,Epos Swiss,72270000,Dây da,Thép không gỉ,Thụy Sĩ,Nam,Kính sapphire,5,2,Automatic,41
39,JL-42-6G,Jacques Lemans,7146000,Thép không gỉ,Thép không gỉ,Áo,Nam,Kính hardlex,10,2,Quartz,42
40,AT-52781.41.51,Atlantic Swiss,33327000,Dây da,Thép không gỉ,Thụy Sĩ,Nam,Kính sapphire,5,2,Automatic,42
41,E-8000.700.28.85.32,Epos Swiss,53910000,Thép không gỉ,Thép không gỉ,Thụy Sĩ,Nữ,Kính sapphire,3,2,Quartz,34
42,PA5016F,Philippe Auguste,4111200,Dây da,Thép không gỉ,Trung Quốc,Nam,Kính sapphire,5,2,Quartz,42
43,E-3435.313.22.18.25,Epos Swiss,56520000,Dây da,Thép không gỉ,Thụy Sĩ,Nam,Kính sapphire,5,2,Hand Winding,43.5
