,Mã sản phẩm,Thương hiệu,Giá tiền,Đường kính mặt,Chống nước,Chất liệu mặt,Năng lượng sử dụng,Size dây,Chất liệu dây,Chất liệu vỏ,Kiểu dáng,Xuất xứ,Chế độ bảo hành
0,PA5018H,Philippe Auguste,4.581.000đ,42 mm,5 ATM,Tráng Sapphire,Quartz/Pin,21 mm,Dây da chính hãng,Thép không gỉ,Đồng hồ Nam,China,Bảo hành quốc tế 02 năm
1,PA5018G,Philippe Auguste,4.581.000đ,42 mm,5 ATM,Tráng Sapphire,Quartz/Pin,21 mm,Dây da chính hãng,Thép không gỉ,Đồng hồ Nam,China,Bảo hành quốc tế 02 năm
2,PA2022,Philippe Auguste,10.710.000đ,40 mm,5 ATM,Tráng Sapphire,Quartz/Pin,20 mm,Dây da chính hãng,Thép không gỉ,Đồng hồ Nam,China,Bảo hành quốc tế 02 năm
3,PA5021B,Philippe Auguste,5.379.300đ,42 mm,10 ATM,Tráng Sapphire,Quartz/Pin,21 mm,Dây da chính hãng,Thép không gỉ,Đồng hồ Nam,China,Bảo hành quốc tế 02 năm
4,PA5021H,Philippe Auguste,5.990.400đ,42 mm,10 ATM,Tráng Sapphire,Quartz/Pin,21 mm,Dây da chính hãng,Thép không gỉ,Đồng hồ Nam,China,Bảo hành quốc tế 02 năm
5,PA5025D,Philippe Auguste,5.535.900đ,42 mm,10 ATM,Tráng Sapphire,Quartz/Pin,22mm,Dây da chính hãng,Stainless Steel,Đồng hồ Nam,China,Bảo hành quốc tế 02 năm
6,DM36285RG,Diamond D,4.779.000đ,32mm,3ATM,Kính sapphire,Quartz/Pin,12mm,Hợp kim mạ PVD rose gold,"Hợp kim mạ PVD rose gold , đính đá swarovsky",Đồng hồ Nữ,China,Bảo hành quốc tế 10 năm
7,DM3638L5IG-R,Diamond D,4.266.000đ,34mm,3ATM,Kính sapphire,Quartz/Pin,16mm,Dây da,"Hợp kim mạ PVD , đính đá swarovsky",Đồng hồ Nữ,China,Bảo hành quốc tế 10 năm
8,PA5023I,Philippe Auguste,5.880.600đ,42 mm,10 ATM,Tráng Sapphire,Quartz/Pin,21 mm,Dây da chính hãng,Thép không gỉ,Đồng hồ Nam,China,Bảo hành quốc tế 02 năm
9,DM36505IG,Diamond D,4.446.000đ,24mm,3ATM,Kính sapphire,Quartz/Pin,12mm,Hợp kim mạ PVD,"Hợp kim mạ PVD , đính đá swarovsky",Đồng hồ Nữ,China,Bảo hành quốc tế 10 năm
