,Thương hiệu,Giá tiền,Mã sản phẩm,giới tính,kiểu dáng,loại máy,phong cách,mặt kính,đường kính,chất liệu vỏ,độ dày,chất liệu dây,độ chịu nước,tính năng khác,bảo hành chính hãng,màu mặt,xuất xứ thương hiệu,bảo hành duy anh
0,CITIZEN,12.937.000,CB0011-51L,Nam,Mặt tròn,Eco-Drive (Năng lượng ánh sáng),Thể thao,Sapphire,44mm x 44mm,Thép không gỉ 316L,10.3mm,Thép không gỉ 316L,100m,Lịch thế kỷ.,1 năm quốc tế,Xanh lam,Nhật Bản,
1,CALVIN KLEIN,7.758.000,K3Y2M11F,Nữ,Mặt vuông,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,19.5mm x 36.5mm,Thép không gỉ 316L,8mm,Thép không gỉ 316L dạng lắc,30m,,2 năm quốc tế,Xanh lam,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
2,CALVIN KLEIN,3.670.000,K3041107,Nam,Mặt vuông,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,31.5mm x 35.8mm,Thép không gỉ 316L,10mm,Dây da,100 m,Đặt hàng online giảm giá 10%,2 năm quốc tế,Đen,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
3,HAMILTON,12.903.000,H64611135,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Thể thao,Sapphire,42mm,Thép không gỉ 316L,11.9mm,Thép không gỉ 316L,200m,"Lịch thứ, lịch ngày.",2 năm quốc tế,Đen,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
4,HAMILTON,11.968.000,H69439363,Nam,Mặt tròn,Đồng hồ cơ lên giây cót bằng tay ( Manual winding ),Quân đội,Sapphire,38mm,Thép không gỉ 316L,,Dây dù,50m,"Lịch ngày. Caliber H-50, trữ cót 80h.",2 năm quốc tế,Xanh Lá,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
5,SEIKO,2.853.000,SNK795K1,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Mặt kính cứng,38mm x 38mm,Thép không gỉ 316L,,Thép không gỉ 316L,30m,"Lịch ngày, lịch thứ.",1 năm quốc tế,Đen,Nhật Bản,5 năm lau dầu bảo dưỡng miễn phí
6,CITIZEN,3.472.250,EQ0605-53A,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,27mm,Thép không gỉ mạ vàng công nghệ PVD,7.7mm,Thép không gỉ 316L mạ vàng công nghệ PVD,50m,"Lịch thứ, lịch ngày.",1 năm quốc tế,Trắng,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
7,HAMILTON,Liên hệ,H32405811,Nữ,Mặt tròn,Automatic (Máy cơ tự động),Hiện đại,Sapphire,36mm,Thép không gỉ 316L,,Dây da,50m,"Caliber H-10-S, trữ cót 80h.",2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế).
8,ORIENT,2.805.000,FUNE7002W0,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,39.5mm,Thép không gỉ 316L,10mm,Thép không gỉ 316L,50m,Lịch ngày.,1 năm quốc tế,Trắng,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
9,LONGINES,54.337.500,L2.793.4.59.6,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,40mm,Thép không gỉ 316L,9.35mm,Thép không gỉ 316L,30m,"Lịch ngày. Caliber L888, 25.200vph, trữ cót 72h. Sapphire chống lóa. Khối lượng 144.7g.",5 năm quốc tế,Đen,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế).
10,DANIEL WELLINGTON,3.789.600,DW00100163,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,32mm,Thép không gỉ 316L,,Thép không gỉ 316L dạng lưới,30m,"Thương hiệu Thụy Điển, máy Nhật Bản",2 năm quốc tế,Trắng,Thụy Điển,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
11,TISSOT,7.092.000,T103.310.36.013.00,Nữ,Mặt Oval,Quartz (Máy pin - điện tử),Thời trang,Sapphire,31.4mm - 28mm,Thép không gỉ mạ vàng công nghệ PVD,6.6mm,Dây da,30m,EOL(battery end-of-life indicator),2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
12,LONGINES,45.144.000,L6.129.0.71.6,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,23.5mm,Thép không gỉ 316L,,Thép không gỉ 316L,30m,Vỏ đính kim cương. Sapphire chống lóa.,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
