,Tên sản phẩm,Giá tiền,thương hiệu,số hiệu sản phẩm,xuất xứ,giới tính,kính,máy,bảo hành quốc tế,bảo hành tại hải triều,đường kính mặt số,bề dày mặt số,niềng,dây đeo,màu mặt số,chống nước,chức năng,nơi sản xuất
0,Tissot,12.250.000,Tissot,T063.209.11.038.00,Thụy Sỹ,Nữ,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,31 mm,5.2 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,3 ATM,,Thụy Sỹ
1,Bulova,8.500.000,Bulova,96P198,Thụy Sỹ / Mỹ,Nữ,Sapphire (Kính Chống Trầy),Quartz (Pin),3 Năm,4 Năm – RED Guarantee,32 mm,8 mm,Thép Không Gỉ,Thép Không Gỉ,Xanh Đen,3 ATM,,Thụy Sỹ
2,Casio,1.633.000,Casio,A100WE-7BDF,Nhật Bản,Nam,Resin Glass (Kính Nhựa),Quartz (Pin),1 Năm,,40.7 mm x 32.7 mm,9.2 mm,,,Đen,3 ATM,Lịch – Bộ Bấm Giờ – Giờ Kép – Vài Chức Năng Khác,Trung Quốc
3,Casio,3.529.000,Casio,EFV-540D-1AVUDF,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,43.8 mm,12.1 mm,,,Đen,10 ATM,Lịch Ngày – Chronograph,Trung Quốc
4,Casio,803.000,Casio,W-218HC-4A2VDF,Nhật Bản,Nữ,Resin Glass (Kính Nhựa),Quartz (Pin),1 Năm,,44.4 mm x 43.2 mm,11 mm,Nhựa,Dây Cao Su,Trắng,5 ATM,Lịch – Bộ Bấm Giờ – Giờ Kép – Đèn Led – Vài Chức Năng Khác,Trung Quốc
5,Longines,35.937.500,Longines,L4.321.4.92.6,Thụy Sỹ,Nữ,Sapphire (Kính Chống Trầy),Automatic (Tự Động),2 Năm,,25 mm,,Thép Không Gỉ,Thép Không Gỉ,Xanh,3 ATM,Lịch Ngày,Thụy Sỹ
6,Doxa,19.630.000,Doxa,D155RCM,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,39 mm,6 mm,Thép Không Gỉ,Thép Không Gỉ,Champagne,3 ATM,,
7,Daniel,4.940.000,Daniel Wellington,DW00100019,Thụy Điển,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,40 mm,6 mm,Thép Không Gỉ,Dây Vải,Trắng,3 ATM,,Trung Quốc
8,Daniel,6.468.000,Daniel Wellington,DW00100436,Thụy Điển,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,40 mm,9.5 mm,Thép Không Gỉ,Dây Cao Su,Đen,10 ATM,,Trung Quốc
9,Certina,21.760.000,Certina,C033.450.16.031.00,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,42 mm,11.8 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,10 ATM,Lịch Ngày – Lịch Trăng – Chronograph,
10,SR,1.850.000,SR,SG1901.1102TE,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),1 Năm,5 Năm,40 mm,6.15 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,Lịch Ngày – Lịch Thứ,Trung Quốc
11,Fossil,3.750.000,Fossil,FS5304,Mỹ,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,44 mm,8 mm,Thép Không Gỉ,Dây Da Chính Hãng,Xanh,5 ATM,Dạ quang – Lịch Ngày – Lịch Thứ,Trung Quốc
12,Citizen,3.185.000,Citizen,BH5000-08A,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,5 Năm,42 mm,9 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,5 ATM,,
13,Candino,5.710.000,Candino,C4533/3,Thụy Sỹ,Nữ,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,5 Năm,32 mm,7 mm,Thép Không Gỉ,Thép Không Gỉ,Đen,5 ATM,Lịch Ngày,
14,Seiko,7.790.000,Seiko,SUR380P1,Nhật Bản,Nữ,Hardlex Crystal (Kính Cứng),Quartz (Pin),1 Năm,5 Năm,29 mm,7 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,,
15,Casio,1.607.000,Casio,MTP-1370D-1A1VDF,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,40mm,9mm,Thép Không Gỉ,Thép Không Gỉ,Đen,5 ATM,Lịch Ngày – Lịch Thứ,Trung Quốc
16,OP,4.170.000,Olym Pianus (Olympia Star),58071DMK-T,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,5 Năm,38 mm,8 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,3 ATM,,
17,Citizen,13.085.000,Citizen,EM0796-59Y,Nhật Bản,Nữ,Sapphire (Kính Chống Trầy),Eco-Drive (Năng Lượng Ánh Sáng),1 Năm,5 Năm,32 mm,7 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng Xà Cừ,5 ATM,,
18,Seiko,7.100.000,Seiko,SRPH29K1,Nhật Bản,Nam,Hardlex Crystal (Kính Cứng),Automatic (Tự Động),1 Năm,5 Năm,39.4 mm,13.2 mm,Thép Không Gỉ,Dây Vải,Xanh,10 ATM,Lịch Ngày – Lịch Thứ,
19,Daniel,4.278.000,Daniel Wellington,DW00100167,Thụy Điển,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,32 mm,6 mm,Thép Không Gỉ,Dây Da Chính Hãng,Đen,3 ATM,,Trung Quốc
20,Michael,6.600.000,Michael Kors,MK7255,Mỹ,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,33 mm,mm,Thép Không Gỉ,Thép Không Gỉ,Trắng Xà Cừ,5 ATM,,Trung Quốc
21,Seiko,7.790.000,Seiko,SWR040P1,Nhật Bản,Nữ,Hardlex Crystal (Kính Cứng),Quartz (Pin),1 Năm,5 Năm,22.4 mm,6.3 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,,
22,Daniel,4.075.000,Daniel Wellington,DW00100349,Thụy Điển,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,28 mm,6 mm,Thép Không Gỉ,Thép Không Gỉ,Đen,3 ATM,,Trung Quốc
23,Frederique,22.030.000,Frederique Constant,FC-235M1S5,Thụy Sỹ,Nữ,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,28 mm,5 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,3 ATM,Vân Guilloché,Thụy Sỹ
24,Casio,2.435.000,Casio,LTP-E312D-1BVDF,Nhật Bản,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,32 mm,8.5 mm,,,Đen,5 ATM,Lịch Ngày – Lịch Thứ – Đồng Hồ 24 Giờ,Trung Quốc
25,Saga,8.080.000,Saga,53458-SVMWBK-2,Mỹ,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,35 mm,mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng Xà Cừ,3 ATM,,Trung Quốc
26,Daniel,5.450.000,Daniel Wellington,DW00100617,Thụy Điển,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,28 mm,6 mm,Thép Không Gỉ,Thép Không Gỉ,Hồng Xà Cừ,3 ATM,,Trung Quốc
27,Casio,3.356.000,Casio,EFR-526L-2AVUDF,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,48.5 mm,11.6 mm,,Dây Da Chính Hãng,Xanh,10 ATM,Lịch Ngày – Chronograph,Trung Quốc
