,Tên sản phẩm,Giá tiền,Mã sản phẩm,Thương Hiệu,Quốc gia đăng ký thương hiệu,Giới tính,Loại sản phẩm,Đường kính mặt,Chiều dày,Chất liệu vỏ,Chất liệu dây,Chất liệu mặt kính,Độ chịu nước,Nơi sản xuất,Bảo hành,Kiểu máy,Dành cho,Mã sản phâm
,LOBINNI,"5,150,000 VNĐ",L9222-1,LOBINNI,Thụy Sỹ,Nam,Đồng hồ cơ (Automatic),42 mm,11.5 mm,Thép không gỉ 316L,Dây da cao cấp,Sapphire,5 ATM,Trung Quốc,24 tháng,,,
1,LOBINNI,"5,480,000 VNĐ",L17511-1,LOBINNI,Thụy Sỹ,Nam,Đồng hồ Automatic,42 mm,10 mm,Thép không gỉ 316L,Thép không gỉ 316L,Sapphire,5 ATM,Trung Quốc,24 tháng,,,
2,LOBINNI,"4,550,000 VNĐ",L12032-1,LOBINNI,Thụy Sỹ,Nam,Đồng hồ Automatic,39 mm,11 mm,Thép không gỉ 316L,Dây da cao cấp,Sapphire,5 ATM,Trung Quốc,24 tháng,,,
3,LOBINNI,"5,280,000 VNĐ",L9010-1,LOBINNI,Thụy Sỹ,Nam,Đồng hồ Automatic,42 mm,11 mm,Thép không gỉ 316L,Dây da cao cấp,Sapphire,5 ATM,Trung Quốc,24 tháng,,,
4,LOBINNI,"4,800,000 VNĐ",L16050-2,LOBINNI,Thụy Sỹ,Nam,Đồng hồ Automatic,41 mm,11 mm,Thép không gỉ 316L,Dây da cao cấp,Sapphire,5 ATM,Trung Quốc,24 tháng,,,
5,LOBINNI,"4,850,000 VNĐ",L18016-1,LOBINNI,Thụy Sỹ,Nam,Đồng hồ cơ (Automatic),40 mm,12 mm,Thép không gỉ 316L,Dây da cao cấp,Sapphire,5 ATM,Trung Quốc,24 tháng,,,
6,LOBINNI,"5,280,000 VNĐ",L9010-3,LOBINNI,Thụy Sỹ,Nam,Đồng hồ Automatic,42 mm,11 mm,Thép không gỉ 316L,Dây da cao cấp,Sapphire,5 ATM,Trung Quốc,24 tháng,,,
7,Kê,"3,800,000 VNĐ",C515G-1,CARNIVAL,Thụy Sỹ,Nam,Đồng hồ cơ (Automatic),41 mm,11 mm,Thép không gỉ 316L,Dây da cao cấp,Sapphire,3 ATM,Trung Quốc,24 tháng,Nhật Bản (Japan Movt),,
8,LOBINNI,"5,350,000 VNĐ",L1810-1,LOBINNI,Thụy Sỹ,Nam,Đồng hồ Automatic,42 mm,12 mm,Thép không gỉ 316L,Dây da cao cấp,Sapphire,5 ATM,Trung Quốc,24 tháng,,,
9,LOBINNI,"2,680,000 VNĐ",L3603-4,LOBINNI,Thụy Sỹ,Nam,Đồng hồ điện tử,40 mm,9 mm,Thép không gỉ 316L,Dây da cao cấp,Sapphire,3 ATM,Trung Quốc,12 tháng,,,
