,Giá tiền,Mã sản phẩm,Nhãn hiệu,Nguồn gốc,Kiểu máy,Kích cỡ,Chất liệu vỏ,Chất liệu dây,Chất liệu kính,Độ chịu nước,Chức năng khác,Bảo hiểm,Bảo hành quốc tế,Giới tính
0,14.940.000,SRPD07J1,Seiko,Nhật Bản,Automatic,37 mm,Thép không gỉ 316L,Dây da,Kính Sapphire,30 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1,5.670.000,BM6960-56E,Citizen,Nhật Bản,Eco-Drive,42 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính cứng,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
2,2.080.000,F.7.1052.01,Freelook,Pháp,Quartz (Pin),,Thép không gỉ 316L,Thép không gỉ,Kính Cứng,30m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
3,3.230.000,OP89322GSK-V,Olym Pianus,Nhật Bản,Quartz (Pin),40 mm,Thép không gỉ 316L/ Mạ vàng PVD,Thép không gỉ 316L,Kính Sapphire,30 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
4,3.890.000,BF2024-50L,Citizen,Nhật Bản,Quartz (Pin),41 mm,Thép không gỉ 316L,Thép không gỉ,Kính cứng,50 m,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
5,9.400.000,AT2362-02A,Citizen,Nhật Bản,Eco - Drive,40mm,Thép - PVD vàng hồng,Dây da,Kính Sapphire,50M,"Lịch ngày, Chronograph",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
6,4.200.000,BH3005-56E,Citizen,Nhật Bản,Quartz,25.531.5mm,Thép không gỉ / Mạ ion,Thép không gỉ / Mạ ion,Kính cứng,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
7,7.470.000,FDD03001W0,Orient,Nhật Bản,Lên cót tay,40 mm,Thép không gỉ 316L,Dây da,Kính Cứng,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
8,4.310.000,AG8315-04E,Citizen,Nhật Bản,Quartz,42 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính cứng,30 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
9,3.410.000,OPA58061LSK-V,Olym Pianus,Nhật Bản,Quartz,28 mm,Thép không gỉ,Thép không gỉ,Sapphire,30 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
10,3.180.000,OP2434-1DLS-D,Olym Pianus,Nhật Bản,Japan movement (Chạy pin),24mm,Thép không gỉ,Thép không gỉ,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
11,12.400.000,RA-AK0011D10B,Orient,Nhật Bản,Automatic,42 mm,Thép không gỉ 316L,Dây da,Kính Sapphire,50m,"Lịch ngày, lịch thứ, lịch Sun and Moon",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
12,5.420.000,RA-SP0002S10B,,Nhật Bản,Quartz,39 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
13,7.450.000,SG19193.4902,SRWatch,Nhật Bản,Japan Automatic Movement (Máy Cơ),42mm,Thép không gỉ/Mạ vàng hồng PVD,Dây da,Kính Sapphire,50m,"Dạ quang, Skeleton",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
14,9.485.000,EW3254-87A,,Nhật Bản,Eco - Drive,27 mm,Thép - PVD vàng,Thép - PVD vàng,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
15,12.085.000,BX1006-85E,Citizen,Nhật Bản,Eco - Drive (Năng lượng Mặt Trời),40mm,Thép không gỉ 316L,Thép không gỉ,Kính sapphire,50m,"Lịch ngày, giờ thế giới",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
16,19.530.000,OG3357AJMSK-V,Ogival,Thụy Sỹ,Automatic,40mm,Thép không gỉ 316L mạ vàng PVD,Thép không gỉ 316L mạ vàng PVD,Kính Sapphire,50M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
17,16.800.000,SER0200GW,Orient,Nhật Bản,Automatic,41.4 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,50 m,"Phiên bản giới hạn 2015 chiếc, phiên bản màu vàng có số thự từ 1516-2015",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
18,2.000.000,SG1076.1201TE,SRWatch,Nhật Bản,Quartz (Pin),39mm,Thép không gỉ 316L/Mạ vàng PVD,Thép không gỉ 316L/Mạ vàng PVD,Kính Sapphire,30m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
19,2.590.000,F.1.1076.03,Freelook,Pháp,Quartz (Pin),34 mm,Thép không gỉ 316L,Thép không gỉ,Kính Cứng,50m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
20,8.510.000,RA-AG0004B10B,Orient,Nhật Bản,Automatic,40.5mm,Thép không gỉ 316L,Dây Da,Kính cứng,30m,Open heart,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
21,9.685.000,NH7505-84E,Citizen,Nhật Bản,Automatic (Máy tự động),40 mm,Thép không gỉ,Thép không gỉ,Kính Sapphire,50m,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
